code,name
9172,FORMOSA PROSONIC INDUSTRIES BERHAD
5277,FOUNDPAC GROUP BERHAD
3689,FRASER & NEAVE HOLDINGS BHD
7210,FREIGHT MANAGEMENT HOLDINGS BERHAD
0128,FRONTKEN CORPORATION BERHAD
9377,FSBM HOLDINGS BERHAD
7184,G3 GLOBAL BERHAD
5226,GABUNGAN AQRS BERHAD
9261,GADANG HOLDINGS BHD
5398,GAMUDA BERHAD
5209,GAS MALAYSIA BERHAD
0078,GD EXPRESS CARRIER BERHAD
7197,GE-SHEN CORPORATION BERHAD
3182,GENTING BERHAD
4715,GENTING MALAYSIA BERHAD
2291,GENTING PLANTATIONS BERHAD
3204,GEORGE KENT (MALAYSIA) BERHAD
5079,GETS GLOBAL BERHAD
0021,GHL SYSTEMS BERHAD
1147,GLOBAL ORIENTAL BERHAD
5220,GLOBALTEC FORMATION BERHAD
7022,GLOBETRONICS TECHNOLOGY BERHAD
5020,GLOMAC BERHAD
7382,GOLDEN LAND BERHAD
5649,GOLDEN PHAROS BERHAD
7192,GOODWAY INTEGRATED INDUSTRIES BERHAD
2135,GOPENG BERHAD
7096,GPA HOLDINGS BERHAD
5592,GRAND CENTRAL ENTERPRISES BHD
7010,GRAND HOOVER BERHAD
0056,GRAND-FLO BERHAD
0082,GREEN PACKET BERHAD
0136,GREENYIELD BERHAD
9962,GROMUTUAL BERHAD
7077,GSB GROUP BERHAD
5102,GUAN CHONG BERHAD
3247,GUH HOLDINGS BERHAD
7676,GUNUNG CAPITAL BERHAD
1503,GUOCOLAND (MALAYSIA) BERHAD
7668,HAI-O ENTERPRISE BERHAD
5151,HALEX HOLDINGS BERHAD
7253,HANDAL RESOURCES BERHAD
3034,HAP SENG CONSOLIDATED BERHAD
5138,HAP SENG PLANTATIONS HOLDINGS BERHAD
2062,HARBOUR-LINK GROUP BERHAD
7501,HARN LEN CORPORATION BHD
5008,HARRISONS HOLDINGS (MALAYSIA) BERHAD
5168,HARTALEGA HOLDINGS BERHAD
5187,HB GLOBAL LIMITED
7105,HCK CAPITAL GROUP BERHAD
3255,HEINEKEN MALAYSIA BERHAD
5028,HEITECH PADU BERHAD
5121,HEKTAR REAL ESTATE INVESTMENT TRUST
4324,HENGYUAN REFINING COMPANY BERHAD
5095,HEVEABOARD BERHAD
3298,HEXZA CORPORATION BERHAD
5072,HIAP TECK VENTURE BERHAD
5199,HIBISCUS PETROLEUM BERHAD
8443,HIL INDUSTRIES BERHAD
5169,HO HUP CONSTRUCTION COMPANY BHD
9601,HO WAH GENTING BERHAD
5165,HOCK HENG STONE INDUSTRIES BHD
6238,HOCK SENG LEE BERHAD
5160,HOMERITZ CORPORATION BERHAD
5819,HONG LEONG BANK BERHAD
5274,HONG LEONG CAPITAL BERHAD
1082,HONG LEONG FINANCIAL GROUP BERHAD
3301,HONG LEONG INDUSTRIES BERHAD
0185,HSS ENGINEERS BERHAD
5062,HUA YANG BERHAD
7013,HUBLINE BERHAD
5000,HUME INDUSTRIES BERHAD
5024,HUP SENG INDUSTRIES BERHAD
8478,HWA TAI INDUSTRIES BERHAD
4251,I-BERHAD
5084,IBRACO BERHAD
5108,ICAPITAL.BIZ BERHAD
5255,ICON OFFSHORE BERHAD
9687,IDEAL UNITED BINTANG INTERNATIONAL BERHAD
5606,IGB BERHAD
5227,IGB REAL ESTATE INVESTMENT TRUST
5225,IHH HEALTHCARE BERHAD
3336,IJM CORPORATION BERHAD
2216,IJM PLANTATIONS BERHAD
5268,IKHMAS JAYA GROUP BERHAD
7222,IMASPRO CORPORATION BERHAD
0166,INARI AMERTRON BERHAD
2607,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO
9393,INDUSTRONICS BERHAD
6262,INNOPRISE PLANTATIONS BERHAD
3379,INSAS BERHAD
0192,INTA BINA GROUP BERHAD
5614,INTEGRATED LOGISTICS BHD
1961,IOI CORPORATION BERHAD
5249,IOI PROPERTIES GROUP BERHAD
5673,IPMUDA BERHAD
5107,IQ GROUP HOLDINGS BERHAD
7183,IRE-TEX CORPORATION BERHAD
8834,IREKA CORPORATION BERHAD
1589,ISKANDAR WATERFRONT CITY BERHAD
5175,IVORY PROPERTIES GROUP BERHAD
7223,JADI IMAGING HOLDINGS BERHAD
4723,JAKS RESOURCES BERHAD
8648,JASA KITA BERHAD
4383,JAYA TIASA HOLDINGS BHD
7152,JAYCORP BERHAD
0058,JCBNEXT BERHAD
5161,JCY INTERNATIONAL BERHAD
8931,JERASIA CAPITAL BERHAD
8923,JIANKUN INTERNATIONAL BERHAD
6769,JKG LAND BERHAD
7043,JMR CONGLOMERATION BERHAD
3441,JOHAN HOLDINGS BERHAD
7167,JOHORE TIN BERHAD
5172,K-STAR SPORTS LIMITED
5192,K.SENG SENG CORPORATION BERHAD
8672,KAMDAR GROUP (M) BERHAD
3115,KARAMBUNAI CORP BHD
5247,KAREX BERHAD
0054,KARYON INDUSTRIES BERHAD
7216,KAWAN FOOD BERHAD
3476,KECK SENG (MALAYSIA) BERHAD
7199,KEIN HING INTERNATIONAL BERHAD
0151,KELINGTON GROUP BERHAD
7323,KEN HOLDINGS BERHAD
6483,KENANGA INVESTMENT BANK BERHAD
7161,KERJAYA PROSPEK GROUP BERHAD
9334,KESM INDUSTRIES BERHAD
0143,KEY ASIC BERHAD
6203,KHEE SAN BERHAD
7062,KHIND HOLDINGS BERHAD
6211,KIA LIM BERHAD
3522,KIAN JOO CAN FACTORY BERHAD
5371,KIM HIN INDUSTRY BERHAD
5027,KIM LOONG RESOURCES BERHAD
5171,KIMLUN CORPORATION BERHAD
5060,KINSTEEL BHD
5280,KIP REAL ESTATE INVESTMENT TRUST
9466,KKB ENGINEERING BERHAD
KLCC+PROPERTY+HOLDINGS+BERHAD,KLCC PROPERTY HOLDINGS BERHAD
KLCC+REAL+ESTATE+INVESTMENT+TRUST,KLCC REAL ESTATE INVESTMENT TRUST
5235SS,KLUANG RUBBER COMPANY (MALAYA) BERHAD
5035,KNUSFORD BERHAD
6971,KOBAY TECHNOLOGY BERHAD
7017,KOMARKCORP BERHAD
4847,KONSORTIUM TRANSNASIONAL BERHAD
7153,KOSSAN RUBBER INDUSTRIES BERHAD
0002,KOTRA INDUSTRIES BERHAD
5878,KPJ HEALTHCARE BERHAD
9121,KPS CONSORTIUM BERHAD
1996,KRETAM HOLDINGS BERHAD
5038,KSL HOLDINGS BERHAD
2445,KUALA LUMPUR KEPONG BERHAD
8303,KUANTAN FLOUR MILLS BHD
6874,KUB MALAYSIA BERHAD
2186,KUCHAI DEVELOPMENT BERHAD
6491,KUMPULAN FIMA BERHAD
7033,KUMPULAN H & L HIGH-TECH BERHAD
9083,KUMPULAN JETSON BERHAD
5843,KUMPULAN PERANGSANG SELANGOR BERHAD
7130,KUMPULAN POWERNET BERHAD
6572,KWANTAS CORPORATION BERHAD
8362,KYM HOLDINGS BERHAD
3794,LAFARGE MALAYSIA BERHAD
3174,LAND & GENERAL BERHAD
1643,LANDMARKS BERHAD
7006,LATITUDE TREE HOLDINGS BERHAD
9385,LAY HONG BERHAD
9326,LB ALUMINIUM BERHAD
8494,LBI CAPITAL BERHAD
5789,LBS BINA GROUP BERHAD
9881,LEADER STEEL HOLDINGS BERHAD
9628,LEBTECH BERHAD
8079,LEE SWEE KIAT GROUP BERHAD
5232,LEON FUAT BERHAD
8745,LEWEKO RESOURCES BERHAD
7170,LFE CORPORATION BERHAD
3573,LIEN HOE CORPORATION BERHAD
7089,LII HEN INDUSTRIES BHD.
6645,LINGKARAN TRANS KOTA HOLDINGS BERHAD
8486,LION FOREST INDUSTRIES BERHAD
4235,LION INDUSTRIES CORPORATION BERHAD
7126,LONDON BISCUITS BERHAD
5284,LOTTE CHEMICAL TITAN HOLDING BERHAD
8621,LPI CAPITAL BHD
7085,LTKM BERHAD
5068,LUSTER INDUSTRIES BHD.
5143,LUXCHEM CORPORATION BERHAD
9199,LYSAGHT GALVANIZED STEEL BERHAD
1198,MAA GROUP BERHAD
7617,MAGNA PRIMA BERHAD
7087,MAGNI-TECH INDUSTRIES BERHAD
3859,MAGNUM BERHAD
8583,MAH SING GROUP BERHAD
8141,MAJUPERAK HOLDINGS BERHAD
5264,MALAKOFF CORPORATION BERHAD
1155,MALAYAN BANKING BERHAD
3662,MALAYAN FLOUR MILLS BERHAD
3891,MALAYAN UNITED INDUSTRIES BERHAD
5014,MALAYSIA AIRPORTS HOLDINGS BERHAD
1171,MALAYSIA BUILDING SOCIETY BERHAD
5186,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD
6548,MALAYSIA PACIFIC CORPORATION BERHAD
5916,MALAYSIA SMELTING CORPORATION BERHAD
5098,MALAYSIA STEEL WORKS (KL) BHD
5077,MALAYSIAN BULK CARRIERS BERHAD
3867,MALAYSIAN PACIFIC INDUSTRIES BERHAD
1651,MALAYSIAN RESOURCES CORPORATION BERHAD
4936,MALPAC HOLDINGS BERHAD
6181,MALTON BERHAD
1058,MANULIFE HOLDINGS BERHAD
3514,MARCO HOLDINGS BERHAD
5078,MARINE & GENERAL BERHAD
7029,MASTER-PACK GROUP BERHAD
5236,MATRIX CONCEPTS HOLDINGS BERHAD
6012,MAXIS BERHAD
5189,MAXWELL INTERNATIONAL HOLDINGS BERHAD
7189,MB WORLD GROUP BERHAD
5983,MBM RESOURCES BHD
7004,MCE HOLDINGS BERHAD
5182,MCT BERHAD
5040,MEDA INC. BERHAD
5090,MEDIA CHINESE INTERNATIONAL LIMITED
4502,MEDIA PRIMA BERHAD
3069,MEGA FIRST CORPORATION BERHAD
5129,MELATI EHSAN HOLDINGS BERHAD
3778,MELEWAR INDUSTRIAL GROUP BERHAD
1694,MENANG CORPORATION (M) BERHAD
5223,MENTIGA CORPORATION BERHAD
8192,MERCURY INDUSTRIES BERHAD
5006,MERGE ENERGY BHD
7234,MESB BERHAD
5011,MESINIAGA BERHAD
6149,METROD HOLDINGS BERHAD
0043,METRONIC GLOBAL BERHAD
7595,MGB BERHAD
5026,MHC PLANTATIONS BHD
5286,MI TECHNOVATION BERHAD
5001,MIECO CHIPBOARD BERHAD
7935,MILUX CORPORATION BERHAD
5166,MINDA GLOBAL BERHAD
7219,MINETECH RESOURCES BERHAD
5576,MINHO (M) BERHAD
5886,MINTYE BERHAD
3816,MISC BERHAD
9571,MITRAJAYA HOLDINGS BERHAD
8893,MK LAND HOLDINGS BERHAD
6114,MKH BERHAD
2194,MMC CORPORATION BERHAD
0113,MMS VENTURES BERHAD
6459,MNRB HOLDINGS BERHAD
5237,MPHB CAPITAL BERHAD
5123,MRCB-QUILL REIT
5202,MSM MALAYSIA HOLDINGS BERHAD
5924,MTD ACPI ENGINEERING BERHAD
5152,MUAR BAN LEE GROUP BERHAD
3883,MUDA HOLDINGS BERHAD
5085,MUDAJAYA GROUP BERHAD
5703,MUHIBBAH ENGINEERING (M) BHD
3913,MUI PROPERTIES BERHAD
3905,MULPHA INTERNATIONAL BERHAD
5150,MULTI SPORTS HOLDINGS LTD
9539,MULTI-USAGE HOLDINGS BERHAD
0138,MY E.G. SERVICES BERHAD
5087,MYCRON STEEL BERHAD
5275,MYNEWS HOLDINGS BERHAD
5073,NAIM HOLDINGS BERHAD
9806,NATIONWIDE EXPRESS HOLDINGS BERHAD
2038,NEGRI SEMBILAN OIL PALMS BERHAD
4707,NESTLE (MALAYSIA) BERHAD
7060,NEW HOONG FATT HOLDINGS BERHAD
7241,NEXTGREEN GLOBAL BERHAD
7215,NI HSIN RESOURCES BERHAD
7139,NICHE CAPITAL EMAS HOLDINGS BERHAD
0083,NOTION VTEC BERHAD
5047,NPC RESOURCES BERHAD
5066,NTPM HOLDINGS BERHAD
5025,NWP HOLDINGS BERHAD
4944,NYLEX (MALAYSIA) BERHAD
5533,OCB BERHAD
0049,OCEANCASH PACIFIC BERHAD
0172,OCK GROUP BERHAD
7071,OCR GROUP BERHAD
7140,OKA CORPORATION BHD
3018,OLYMPIA INDUSTRIES BERHAD
9008,OMESTI BERHAD
5260,ONLY WORLD GROUP HOLDINGS BERHAD
7107,ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD
