code,category,year_end,net_profit,num_share,price,name,ROI
2771,Industrial Products,31/12/18,-469200,2026781,1.41,BOUSTEAD HOLDINGS BERHAD,-16.42
5254,Plantations,31/12/18,-51781,2240000,0.75,BOUSTEAD PLANTATIONS BERHAD,-3.08
6297,Industrial Products,31/12/18,-14882,120047,1.0,BOX-PAK (MALAYSIA) BERHAD,-12.4
5100,Industrial Products,31/12/18,21086,187688,0.99,BP PLASTICS HOLDING BHD,11.35
9474,Consumer,31/12/18,-103135,236286,0.28,BRAHIM'S HOLDINGS BERHAD,-155.89
8761,Construction,31/03/18,41004,344335,0.875,BREM HOLDING BERHAD,13.61
9938,Industrial Products,31/08/18,-3402,205331,0.21,BRIGHT PACKAGING INDUSTRY BERHAD,-7.89
4162,Consumer,31/12/18,468531,285530,36.08,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,4.55
7221,Industrial Products,31/08/18,-1101,96636,0.41,BSL CORPORATION BERHAD,-2.78
7188,Industrial Products,31/12/18,-2399,141344,0.09,BTM RESOURCES BERHAD,-18.86
5210,Energy,31/12/18,-2302769,5870937,0.155,BUMI ARMADA BERHAD,-253.05
1818,Finance,31/12/18,224042,807474,6.84,BURSA MALAYSIA BERHAD,4.06
2828,Consumer,30/06/18,31108,162000,1.84,C.I. HOLDINGS BERHAD,10.44
7174,Consumer,30/09/18,29385,631935,0.86,CAB CAKARAN CORPORATION BERHAD,5.41
7154,Consumer,31/03/18,1460,80000,0.94,CAELY HOLDINGS BHD,1.94
2852,Industrial Products,31/12/18,265741,1069945,2.69,CAHYA MATA SARAWAK BERHAD,9.23
7128,Consumer,31/12/18,2494,191903,0.26,CAM RESOURCES BERHAD,5.0
5105,Industrial Products,31/12/18,46576,192153,1.98,CAN-ONE BERHAD,12.24
5180,REITS,31/12/18,135628,2044176,1.01,CAPITALAND MALAYSIA MALL TRUST,6.57
5257,Energy,30/06/18,-25087,233878,0.27,CARIMIN PETROLEUM BERHAD,-39.73
5245,Consumer,31/05/18,18560,217706,1.55,CARING PHARMACY GROUP BERHAD,5.5
2836,Consumer,31/12/18,277154,305748,19.68,CARLSBERG BREWERY MALAYSIA BERHAD,4.61
7076,Industrial Products,31/12/18,46319,511721,1.0,CB INDUSTRIAL PRODUCT HOLDING BERHAD,9.05
7035,Consumer,31/12/18,27898,629177,0.395,CCK CONSOLIDATED HOLDINGS BERHAD,11.23
5195,Technology,31/03/18,-8365,501956,0.215,CENSOF HOLDINGS BERHAD,-7.75
8052,Industrial Products,31/12/18,-3607,90000,0.46,CENTRAL INDUSTRIAL CORPORATION BERHAD,-8.71
8982,Plantations,31/12/18,5199,308967,0.565,CEPATWAWASAN GROUP BERHAD,2.98
7209,Consumer,30/06/18,1035,115358,0.4,CHEETAH HOLDINGS BERHAD,2.24
2879,Industrial Products,31/12/18,25706,167696,1.79,CHEMICAL COMPANY OF MALAYSIA BERHAD,8.56
5273,Industrial Products,31/12/18,24153,556388,0.725,CHIN HIN GROUP BERHAD,5.99
7187,Transportation&Logistics,31/03/18,8873,281363,0.45,CHIN HIN GROUP PROPERTY BERHAD,7.01
1929,Plantations,31/08/18,72150,91363,7.58,CHIN TECK PLANTATIONS BERHAD,10.42
5007,Industrial Products,30/06/18,55884,296720,1.54,CHIN WELL HOLDINGS BERHAD,12.23
5229,Industrial Products,31/12/16,-77115,1285250,0.025,CHINA AUTOMOBILE PARTS HOLDINGS LIMITED,-240.0
5188,Consumer,31/12/18,-10750,668000,0.035,CHINA OUHUA WINERY HOLDINGS LIMITED,-45.98
5214,Consumer,31/12/16,18535,1242761,0.065,CHINA STATIONERY LIMITED,22.95
5797,Industrial Products,31/12/18,32363,130729,1.48,CHOO BEE METAL INDUSTRIES BHD,16.73
7016,Industrial Products,31/12/18,7836,168670,0.32,CHUAN HUAT RESOURCES BHD,14.52
1023,Finance,31/12/18,5583510,9512630,5.71,CIMB GROUP HOLDINGS BERHAD,10.28
7117,Transportation&Logistics,31/12/18,9784,390419,0.39,CJ CENTURY LOGISTICS HOLDINGS BERHAD,6.43
7202,Consumer,31/12/18,7233,120500,1.09,CLASSIC SCENIC BERHAD,5.51
7018,Industrial Products,30/06/18,-14077,584236,0.04,CME GROUP BERHAD,-60.24
7986,Industrial Products,31/12/18,1622,45382,0.53,CN ASIA CORPORATION BHD,6.74
5104,Consumer,31/12/18,637,712905,0.06,CNI HOLDINGS BERHAD,1.49
5071,Energy,30/06/18,-572720,527403,0.95,COASTAL CONTRACTS BHD,-114.31
7205,Consumer,31/12/18,30914,228800,1.94,COCOALAND HOLDINGS BERHAD,6.96
2127,Industrial Products,31/01/18,35897,558807,1.1,COMFORT GLOVES BERHAD,5.84
7195,Industrial Products,31/01/18,-33002,140000,0.75,COMINTEL CORPORATION BHD,-31.43
5136,Transportation&Logistics,31/03/18,9415,123442,0.66,COMPLETE LOGISTIC SERVICES BERHAD,11.56
5037,Industrial Products,31/12/18,-5992,2347717,0.025,COMPUGATES HOLDINGS BERHAD,-10.21
8044,Industrial Products,31/03/18,-2640,41000,1.1,COMPUTER FORMS (MALAYSIA) BERHAD,-5.85
8435,Industrial Products,31/08/18,-5571,44775,1.38,CONCRETE ENGINEERING PRODUCTS BERHAD,-9.02
5738,Property,31/12/18,85233,273557,1.46,COUNTRY HEIGHTS HOLDINGS BHD,21.34
5049,Property,30/11/18,70513,100000,1.33,COUNTRY VIEW BERHAD,53.02
6718,Property,31/01/18,34947,279419,1.45,CRESCENDO CORPORATION BERHAD,8.63
8591,Construction,31/12/18,70376,169909,0.87,CREST BUILDER HOLDINGS BERHAD,47.61
5094,Industrial Products,31/12/18,21891,369300,1.02,CSC STEEL HOLDINGS BERHAD,5.81
0051,Technology,31/12/18,-21881,835053,0.175,CUSCAPI BERHAD,-14.97
9423,Consumer,30/06/18,6575,126290,0.48,CWG HOLDINGS BERHAD,10.85
2925,Consumer,31/12/18,22319,100745,1.53,CYCLE & CARRIAGE BINTANG BERHAD,14.48
7157,Industrial Products,31/01/18,1200,100000,0.64,CYL CORPORATION BERHAD,1.88
5082,Industrial Products,31/12/18,-4287,75000,0.35,CYMAO HOLDINGS BERHAD,-16.33
5184,Industrial Products,31/10/18,70402924,273387,2.54,CYPARK RESOURCES BERHAD,10138.63
7204,Technology,31/12/18,35961,1045377,0.715,D&O GREEN TECHNOLOGIES BERHAD,4.81
7179,Consumer,31/12/18,-26459,2678229,0.03,D.B.E. GURNEY RESOURCES BERHAD,-32.93
4456,Technology,31/12/18,35345,1757969,0.23,DAGANG NEXCHANGE BERHAD,8.74
8125,Industrial Products,31/12/18,15241,327348,1.62,DAIBOCHI BERHAD,2.87
5355,Property,30/06/18,41072,210574,1.95,DAIMAN DEVELOPMENT BHD,10.0
3484,Property,31/12/18,20619,318371,0.225,DAMANSARA REALTY BHD,28.78
5276,Industrial Products,31/12/18,14988,298005,0.45,DANCOMECH HOLDINGS BERHAD,11.18
8338,Technology,31/03/18,-5050,421395,0.21,DATAPREP HOLDINGS BHD,-5.71
5216,Technology,31/03/18,67244,1350000,0.88,DATASONIC GROUP BERHAD,5.66
0091,Energy,31/12/18,-158449,2042951,0.01,DAYA MATERIALS BERHAD,-775.59
5141,Energy,31/12/18,164223,964809,0.54,DAYANG ENTERPRISE HOLDINGS BERHAD,31.52
7119,Consumer,31/12/18,-9,130832,1.05,DEGEM BERHAD,-0.01
5132,Energy,31/12/18,27169,400291,0.985,DELEUM BERHAD,6.89
7212,Industrial Products,31/12/18,1807,1155230,0.205,DESTINI BERHAD,0.76
7277,Energy,30/06/18,510371,5638307,3.09,DIALOG GROUP BERHAD,2.93
6947,Telco&Media,31/12/18,1540788,7775000,4.5,DIGI.COM BERHAD,4.4
0029,Technology,30/09/18,-17667,658339,0.08,DIGISTAR CORPORATION BERHAD,-33.54
7528,Construction,31/12/18,5467,92699,1.79,DKLS INDUSTRIES BHD,3.29
5908,Consumer,31/12/18,44615,157650,2.3,DKSH HOLDINGS (MALAYSIA) BERHAD,12.3
7114,Industrial Products,31/12/18,2594,192796,0.34,D'NONCE TECHNOLOGY BHD,3.96
5835,Industrial Products,30/06/18,-120543,284952,0.175,DOLOMITE CORPORATION BERHAD,-241.73
5265,Industrial Products,31/12/18,-3909,244200,0.09,DOLPHIN INTERNATIONAL BERHAD,-17.79
7169,Industrial Products,31/03/18,27862,168843,1.31,DOMINANT ENTERPRISE BERHAD,12.6
7198,Property,31/03/18,-5191,587770,0.075,DPS RESOURCES BERHAD,-11.78
1619,Consumer,31/03/18,498441,1933237,2.44,DRB-HICOM BERHAD,10.57
7233,Industrial Products,31/12/18,51855,251179,2.06,DUFU TECHNOLOGY CORP. BERHAD,10.02
7148,Health Care,31/12/18,47641,661881,0.95,CCM DUOPHARMA BIOTECH BERHAD,7.58
3948,Plantations,30/06/18,386443,846118,0.49,DUTALAND BERHAD,93.21
3026,Consumer,31/12/18,129449,64000,62.0,DUTCH LADY MILK INDUSTRIES BERHAD,3.26
5178,Industrial Products,31/05/18,-6190,162837,0.125,DYNACIATE GROUP BERHAD,-30.41
5259,Transportation&Logistics,31/12/18,74232,504000,0.39,E.A.TECHNIQUE (M) BERHAD,37.77
3417,Property,31/03/18,100790,1300983,1.42,EASTERN & ORIENTAL BERHAD,5.46
2097,Consumer,31/12/18,-8830,245667,0.095,EASTLAND EQUITY BHD,-37.83
2143,Finance,31/12/18,5136,479925,0.28,ECM LIBRA FINANCIAL GROUP BERHAD,3.82
8206,Property,31/10/18,165592,2944368,1.0,ECO WORLD DEVELOPMENT GROUP BERHAD,5.62
5283,Property,31/10/18,35238,2400000,0.895,ECO WORLD INTERNATIONAL BERHAD,1.64
0059,Telco&Media,31/05/18,-1991,162709,0.25,ECOBUILT HOLDINGS BERHAD,-4.89
3557,Property,31/05/18,44596,803162,0.3,ECOFIRST CONSOLIDATED BHD,18.51
5253,Construction,30/06/18,87102,1337500,0.74,ECONPILE HOLDINGS BERHAD,8.8
5036,Technology,30/06/18,7203,57905,0.35,EDARAN BERHAD,35.54
7471,Utilities,31/12/18,-8024,321762,0.095,EDEN INC. BERHAD,-26.25
0064,Industrial Products,31/12/18,-7590,709130,0.195,EFFICIENT E-SOLUTIONS BERHAD,-5.49
8907,Industrial Products,30/06/18,18817,249779,0.47,EG INDUSTRIES BERHAD,16.03
